BBL,Address,AllApps,grantedfullpart,grantedfull,Denied,CONH,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
4008410037,24-10 29TH ST,6,6,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
4015540001,88-36 ELMHURST AVE,6,5,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0
4017340032,34-35 100TH ST,6,4,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
4020990040,63-33 98TH PL,6,5,3,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0
4021170001,66-07 99TH ST,6,5,3,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
4021440015,105-40 62ND RD,6,5,4,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0
4031560133,98-05 67TH AVE,6,4,4,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0
4050400027,132-48 41ST RD,6,4,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
4051450001,44-35 COLDEN ST,6,6,6,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
4051460026,137-20 45TH AVE,6,6,5,0,0,0,1,0,2,0,0,1,0,0,1,0,0,1,0,0
4062600032,202-09 43RD AVE,6,6,6,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0
4067010001,150-39 TO 150-43 72ND DR,6,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
4067030002,150-15 TO 150-21 75TH AVE,6,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
4067040001,150-17 TO 150-21 75TH RD,6,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
4077320002,213-01 TO 213-05 75TH AVE,6,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
4158100071,20-33 TO 20-35 SEAGIRT BLVD,6,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0
1004520002,166 2ND AVE,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
1005620044,25 E 10TH ST,5,4,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1005900033,5 CORNELIA ST,5,4,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
1006030067,453 HUDSON ST,5,3,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
